in:Roof angle,in:Sunspace depth,in:SRR,in:WWR,in:Floor const,in:Window const,in:Skylight const,in:Exterior wall const,in:Insulation material,out:Heating load (kWh/m2),out:Solar gain (kWh),out:Cooling load (kWh/m2)
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,8.675554,11171.16739,18.96715
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,4.745758,11641.91009,18.474646
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,7.485801,11586.8215,18.474646
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,8.364414,11745.1804,18.474646
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,6.205833,11642.14122,19.029028
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,8.497671,11589.9854,19.029028
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,9.13133,11745.1804,19.029028
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,4.525686,12418.59172,18.087967
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,7.582559,12337.48391,18.087967
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,8.614215,12544.20525,18.087967
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,5.870042,12424.38695,18.701926
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,8.497102,12345.31066,18.701926
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,9.176703,12544.20525,18.701926
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,4.553025,12987.66281,18.231215
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,7.913912,12907.98456,18.231215
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,9.115197,13118.21826,18.231215
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,5.890687,12993.53787,18.799756
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,8.730101,12912.61503,18.799756
0,1,0.3,0.6,Typical Uninsulated 6in Slab Floor,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,9.545126,13118.21826,18.799756
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,0.653358,19515.10377,19.285919
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,2.121864,19882.78198,19.285919
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,2.714755,20243.15159,19.285919
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,1.241778,19535.25038,19.955392
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,2.754412,19891.49739,19.955392
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,3.339734,20243.15159,19.955392
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,0.682331,20082.58842,19.386904
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,2.30085,20446.62038,19.386904
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,3.044667,20817.1646,19.386904
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,1.26362,20112.30315,20.044557
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,2.96735,20455.9349,20.044557
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,3.528574,20817.1646,20.044557
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,0.881607,22230.49977,18.74758
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,2.985909,22867.57309,18.74758
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,4.01866,23318.62657,18.74758
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,1.382357,22342.24565,19.358246
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,3.53701,22870.4633,19.358246
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,4.361169,23318.62657,19.358246
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,0.912008,22854.44213,18.869705
0,1,0.3,0.9,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,3.198217,23433.59221,18.869705
